trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.5, 'e': 0.08503177296600946}",20,0,-31.592996815181802,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.08333113750668926}",20,0,-16.177745306063045,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.08166451475655548}",20,0,3.8035335685880005,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.08003122446142437}",20,0,-72.902870643941,"{0: 11, 1: 8, 2: 0, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.07843059997219588}",25,0,-85.46886408324687,"{0: 18, 1: 5, 2: 0, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.07686198797275196}",25,0,-38.63789290661079,"{0: 17, 1: 7, 2: 0, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.07532474821329692}",20,0,-11.121635251343541,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.07381825324903098}",20,0,-6.212846943712854,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.07234188818405035}",25,0,-23.156756847899118,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.07089505042036935}",20,0,-46.23138405702989,"{0: 10, 1: 8, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.06947714941196197}",25,0,-29.649434447616777,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.06808760642372272}",25,0,-11.305989104698657,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.06672585429524826}",20,10,8.779757446010798,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.0653913372093433}",20,0,-1.7149494145909754,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.06408351046515644}",20,0,-40.71190272948199,"{0: 14, 1: 4, 2: 0, 3: 2, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.0628018402558533}",25,0,-0.03822642172027946,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.061545803450736236}",20,0,-41.137425126144706,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.060314887381721506}",20,0,-0.44382579350147655,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.05910858963408708}",30,0,-18.78793555713752,"{0: 23, 1: 6, 2: 0, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.057926417841405335}",25,0,-12.195389261728565,"{0: 20, 1: 4, 2: 0, 3: 1, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.05676788948457723}",30,0,-1.5056499993902832,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.05563253169488568}",20,0,14.170542067161037,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.054519881060987964}",20,0,17.06369100062464,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.05342948343976821}",20,0,-18.467098021564947,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.05236089377097284}",25,0,-8.873429095761585,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.051313675895553384}",25,0,-63.18085119625974,"{0: 15, 1: 9, 2: 0, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.050287402377642315}",25,0,-13.853258384844976,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.049281654330089464}",25,0,-87.13026215267767,"{0: 18, 1: 5, 2: 0, 3: 0, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.048296021243487676}",20,2,-1.744622388042064,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.04733010081861792}",30,0,-71.43811369313055,"{0: 21, 1: 7, 2: 0, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.046383498802245564}",30,0,-56.06033814711793,"{0: 21, 1: 8, 2: 0, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.04545582882620065}",20,0,-44.74022372754452,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.044546712249676636}",30,0,-25.438671760764237,"{0: 20, 1: 9, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.04365577800468311}",25,0,-42.49986795988336,"{0: 16, 1: 7, 2: 1, 3: 1, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.04278266244458944}",20,0,-14.674528028090927,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.041927009195697654}",25,0,-56.34466857034384,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.041088469011783695}",20,0,-31.297977673461165,"{0: 12, 1: 7, 2: 0, 3: 1, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.040266699631548025}",25,0,-46.550869879422336,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.03946136563891706}",25,0,-15.42033819151687,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.03867213832613872}",20,0,16.54959831576783,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.03789869555961595}",20,0,6.441973546023586,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.03714072164842362}",20,0,7.857838345041135,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.036397907215455154}",25,0,-14.55826246840848,"{0: 19, 1: 5, 2: 0, 3: 1, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.03566994907114605}",20,0,3.381827868847588,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.03495655008972313}",35,0,17.878790193846704,"{0: 31, 1: 3, 2: 1, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.03425741908792866}",25,0,-6.684906441362605,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.03357227070617009}",25,0,-25.967035542306444,"{0: 18, 1: 6, 2: 0, 3: 1, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.03290082529204669}",25,0,-5.182532689839986,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.03224280878620575}",20,0,-36.03583057662758,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.031597952610481636}",25,0,-13.77303284468957,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.030965993558272006}",30,0,0.7345018105477343,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.030346673687106564}",25,0,-62.20774927407107,"{0: 16, 1: 8, 2: 0, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.02973974021336443}",35,0,-55.83824325147846,"{0: 27, 1: 4, 2: 1, 3: 3, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.029144945409097144}",20,0,3.595630364257695,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.0285620465009152}",25,0,8.4054814823855,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.027990805570896893}",20,0,-3.6129948792431548,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.027430989459478958}",25,0,-22.79665877984162,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.026882369670289376}",30,0,-6.76190929173996,"{0: 25, 1: 4, 2: 0, 3: 1, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.02634472227688359}",20,0,-27.766990809047062,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.025817827831345917}",25,0,-36.01058020506448,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.025301471274718997}",20,0,-13.39363554072512,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.024795441849224616}",20,0,-11.570012363233053,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
184,False,"{'a': 0.5, 'e': 0.024299533012240124}",25,0,-13.505037107279204,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
185,False,"{'a': 0.5, 'e': 0.023813542351995322}",35,0,-42.628822581870786,"{0: 23, 1: 10, 2: 2, 3: 0, 4: 0}",0
186,False,"{'a': 0.5, 'e': 0.023337271504955414}",25,0,-37.92860829944243,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 1}",0
187,False,"{'a': 0.5, 'e': 0.022870526074856307}",20,0,-11.333092574771548,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.02241311555335918}",20,0,-22.455012291179887,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.021964853242291995}",25,0,-21.939269819186585,"{0: 18, 1: 6, 2: 1, 3: 0, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.021525556177446156}",30,0,-8.217878089322175,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",0
191,False,"{'a': 0.5, 'e': 0.02109504505389723}",35,0,-63.66581595709738,"{0: 23, 1: 11, 2: 0, 3: 0, 4: 1}",0
192,False,"{'a': 0.5, 'e': 0.020673144152819286}",35,0,-33.056558109145705,"{0: 25, 1: 9, 2: 0, 3: 1, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.0202596812697629}",25,0,-20.629104487749622,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
194,False,"{'a': 0.5, 'e': 0.019854487644367643}",25,0,-86.32683577640555,"{0: 14, 1: 8, 2: 2, 3: 0, 4: 1}",0
195,False,"{'a': 0.5, 'e': 0.01945739789148029}",30,0,-4.852552698880788,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",0
196,False,"{'a': 0.5, 'e': 0.019068249933650683}",25,15,-22.14922327651194,"{0: 5, 1: 5, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.01868688493497767}",30,0,8.920110568953111,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
198,False,"{'a': 0.5, 'e': 0.018313147236278113}",20,0,-6.297375340691092,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
